事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
ウエルシア薬局立川若葉店,立川市,立川市若葉町3-21,"月〜土　10:00〜20:00
日　休み",042-538-7237,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局三鷹下連雀店,三鷹市,三鷹市下連雀3-30-8,"月〜土　9:00〜20:00
日　休み",0422-79-8845,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局三鷹店,三鷹市,三鷹市下連雀5-1-8,"月〜金　9:00〜19:00
土　9:00〜17:00
日　休み",0422-49-3355,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局三鷹野崎店,三鷹市,三鷹市野崎1-16-5,"月〜金　9:00〜13:30 /14:30〜19:00
土　9:00〜13:30 /14:30〜18:00
日　休み",0422-70-2705,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局ラーレ青梅新町店,青梅市,青梅市新町9-2016-14,"月〜土　10:00〜20:00
日祝　10:00〜14:00/15:00〜19:00
無休",0428-30-3301,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局青梅今寺店,青梅市,青梅市今寺5-13-1,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",0428-30-0621,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局青梅新町店,青梅市,青梅市新町3-69-4,"月〜土　10:00〜14:00/15:00〜20:00
日　休み",0428-30-7285,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局府中天神店,府中市,府中市天神町3-12-6,"月〜土　9:00〜20:00
日祝　10:00〜13:00/14:00〜19:00
無休",042-352-1180,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局府中是政店,府中市,府中市是政2-4-2,"月〜日（祝含む）　9:00〜20:00
無休",042-358-1328,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局府中町二丁目店,府中市,府中市府中町2丁目9-5,"月火水金　9:00〜20:00
木　9:00〜14:00/15:00〜20:00
土　9:00〜19:00
日　休み",042-358-2172,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局府中白糸台店,府中市,府中市白糸台3丁目37番地12,"月〜土　9:00〜20:00
日　9:00〜13:00/14:00〜17:00
無休",042-340-3200,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局昭島朝日町店,昭島市,昭島市朝日町2-3-19,"月〜土　9:00〜20:00
日　9:00〜13:00/14:00〜18:00
無休",042-500-4506,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局つくし野駅前店,町田市,町田市つくし野2-25-3,"月〜金　9:00〜20:00
土　9:00〜18:00
日　10:00〜20:00
無休",042-796-8960,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局町田境川店,町田市,町田市木曽東2-10-1,"月〜土　10:00〜20:00
日祝　10:00〜13:00/14:00〜19:00
無休",042-789-5220,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局町田本町田店,町田市,町田市本町田3173-1,"月〜土　10:00〜13:00/14:00〜19:00
日　休み",042-732-0850,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局町田滝の沢店,町田市,町田市木曽町120-1,"月〜土　9:00〜20:00
日祝　9:00〜13:00/14:00〜20:00
無休",042-710-4782,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局町田相原店,町田市,町田市相原町3336番地1,"月〜土　10:00〜20:00
日　10:00〜13:00/14:00〜18:00
無休",042-783-7847,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ハックドラッグ成瀬ローゼン薬局,町田市,町田市南成瀬1-3-5 そうてつローゼン成瀬店2F,"月〜土　9:00〜20:00
日祝　9:00〜13:00/14:00〜17:00
無休",042-710-5589,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局イオンフードスタイル小平店,小平市,小平市小川東町2-12-1,"月〜土　9:00〜20:00
日　10:00〜13:00/14:00〜18:00",042-349-3705,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局小平上水本町店,小平市,小平市上水本町三丁目5番10号,"月〜土　9:00〜20:00
日　休み",042-359-3189,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局小平学園西町店,小平市,小平市学園西町三丁目26番22号,"月〜日　9:00〜19:00
無休",042-348-6601,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局小平小川東店,小平市,小平市小川東町1-6-20,"月〜土　9:00〜20:00
日　休み",042-349-0889,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア京王高幡SC調剤薬局,日野市,日野市高幡128-5 京王高幡ショッピングセンター1階,"月〜土　9:00〜20:00
日　休み",042-599-8522,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日野万願寺店,日野市,日野市万願寺2-25-5,"月〜土　9:00〜20:00
日　休み",042-589-0158,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日野仲宿店,日野市,日野市日野本町2-16-28,"月火木　9:30〜13:30/14:30〜19:30
金　9:30〜13:30/14:30〜18:30
土　9:30〜14:30
日　休み",042-843-4468,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日野栄町店,日野市,日野市栄町四丁目22番地の1,"月〜土　10:00〜20:00
日　休み",042-589-6963,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日野甲州街道店,日野市,日野市大字日野1479番地の1,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",042-582-6281,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日野落川店,日野市,日野市落川 997番地1,"月〜土　9:00〜20:00
日　9:00〜14:00/15:00〜17:00
無休",042-599-3304,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局新秋津駅前店,東村山市,東村山市新秋津町5-13-95,"月〜土　9:00〜20:00
日　休み",042-390-3915,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東村山久米川2丁目店　店舗内　及び　ドライブスルー対応,東村山市,東村山市久米川町2-37-2,"月〜土　10:00〜14:00/15:00〜19:00
日祝　休み",042-399-0261,True,True,"※ドライブスルー対応店
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東村山久米川店,東村山市,東村山市久米川町4-3-39,"月火金土　9:00〜20:00
水木　9:00〜14:00/15:00〜20:00
日　休み",042-390-8028,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東村山野口店,東村山市,東村山市野口町1-26-37,"月〜金　9:00〜20:00
土　10:00〜20:00
日祝　10:00〜13:00/14:00〜20:00
無休",042-399-3150,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局国分寺駅北口店,国分寺市,国分寺市本町2丁目2番1号,"月〜土　9:00〜20:00
日　9:00〜13:30/14:30〜18:00
無休",042-329-5066,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局国立富士見台店,国立市,国立市富士見台2-30-2,"月〜土　9:00〜20:00
日祝　9:00〜13:30/14:30〜18:00
無休",042-580-0375,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局国立谷保店,国立市,国立市谷保5213-1 津戸ビル1F,"月〜金　9:00〜19:00
土　10:00〜18:00
日　休み",042-571-8900,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東福生店,福生市,福生市武蔵野台1-8-10,"月〜土　10:00〜14:00/15:00〜20:00
日　休み",042-539-2930,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局福生北田園店　店舗内　及び　ドライブスルー対応,福生市,福生市北田園2-18-5,"月〜土　9:30〜14:00/15:00〜19:30
日　休み",042-539-5030,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東大和向原店,東大和市,東大和市向原3-1-1,"月〜土　10:00〜14:00/15:00〜20:00
日　休み",042-590-1289,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東大和立野店,東大和市,東大和市立野3-1149-2,"月〜土　9:00〜19:00
日祝　9:00〜14:00/15:00〜19:00
無休",042-567-4138,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局清瀬中里店,清瀬市,清瀬市中里3-895-1,"月〜土　9:00〜20:00
日　休み",042-494-6166,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東久留米八幡町店,東久留米市,東久留米市八幡町三丁目14番6号,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",042-470-7030,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東久留米本町店,東久留米市,東久留米市本町1-4-33,"月〜金　9:00〜20:00
土　9:00〜19:00
祝　10:00〜14:00/15:00〜20:00
日　休み",042-479-0125,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東久留米滝山店,東久留米市,東久留米市滝山1-8-20,"月〜土　9:00〜20:00
日　休み",042-479-1121,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局ダイエー武蔵村山店,武蔵村山市,武蔵村山市伊奈平3-36-1,"月〜土　9:00〜19:00
日　休み",042-520-5491,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局南多摩駅前店,稲城市,稲城市大丸1007番地の2,"月〜土　10:00〜13:00/14:00〜20:00
日　休み",042-370-0281,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局稲城若葉台アクロスプラザ店,稲城市,稲城市若葉台1丁目55番地,"月〜金　10:00〜13:00/14:00〜20:00
土　10:00〜14:00
日　休み",042-350-6602,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局稲城長沼駅店,稲城市,稲城市長沼516-12,"月〜土　9:00〜20:00
日　休み",042-370-3314,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局田無駅前店,西東京市,西東京市田無町4-2-11 指田ビル1F,"月〜金　9:00〜20:00
土　9:00〜19:00
日祝　9:00〜14:00/15:00〜19:00
無休",0424-51-5789,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
クリニックフォア飯田橋,千代田区,千代田区富士見2丁目7番1号飯田橋プラーノ1階,"月〜金　10:00〜20:00
土日祝　9:00〜18:00
無休",,True,False,
クリニックフォア新橋,港区,港区新橋1丁目4番5号ヒューリックG10ビル9階,"月〜金　9:30〜21:00
土日祝　9:00〜18:00
無休",,True,False,
医療法人社団エムズ　クリニックフォア有楽町,千代田区,千代田区有楽町2丁目7-1 イトシア B1F,"月〜金　10:00〜20:30
土日祝　休み",,True,False,
医療法人社団エムズ　クリニックフォア田町,港区,港区芝浦3-1-32なぎさテラス4階,"月〜金　9:30〜21:00
土日祝　9:00〜18:00
無休",,True,False,
クリニックフォア大手町,千代田区,千代田区大手町1丁目2番1号OtemachiOne地下1階,"月〜金　9:00〜20:30
土日祝　休み",,True,False,
医療法人社団 大瑛会Ｔケアクリニック浜松町,港区,港区浜松町2ー13ー9 G1ビル2F,"月〜日（祝含む）　9:00〜14:30/15:30〜19:00
無休",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
医療法人社団　祐真会 御徒町駅前内科クリニック,台東区,台東区上野6-3-5 大口ビル1階,"月水木金　10:00〜19:00
火土日祝　休み",,True,True,メールアドレスなしで受検可能
医療法人社団 祐真会 マチノマ大森内科クリニック,大田区,大田区大森西3-1-38 マチノマ大森3F,"月〜日　9:00〜17:30
祝　休み",,True,True,メールアドレスなしで受検可能
医療法人社団　祐真会 渋谷宮益坂内科クリニック,渋谷区,渋谷区渋谷2-19-17,"月火水金　10:00〜19:00
木土日祝　休み",,True,True,メールアドレスなしで受検可能
MDT衛生検査所 神田受付センター,千代田区,千代田区鍛治町１−８−１　１階・２階,"月〜金　9:00〜20:00
土日祝　10:00〜18:00
無休",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
MDT衛生検査所　銀座受付センター,中央区,中央区銀座5-7-1,"月〜日（祝含む）　9:00〜20:00
無休",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
MDT衛生検査所 赤坂受付センター,港区,港区赤坂1-9-13 三会堂ビルB1F,"月〜金　9:00〜20:00 
土日祝　休み",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
MDT衛生検査所 新宿受付センター,新宿区,新宿区新宿4-2-20　MKビル1階,"月〜金　9:00〜20:00
土日祝　10:00〜18:00
無休",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
MDT衛生検査所　高田馬場受付センター,新宿区,新宿区高田馬場1-3-12　マルソビル２F,"月〜土　9:00〜19:00
日祝　休み",,True,True,"※Eメールアドレスをお持ちでない方も
検査が可能です。"
MDT衛生検査所 浅草橋受付センター,台東区,台東区浅草橋1-17-12,"月〜金　9:00〜20:00
土日祝　9:00〜18:00
無休",,True,True,"※Eメールアドレスをお持ちでない方も検査が可能です。
（高架下で実施）"
MDT衛生検査所　代官山受付センター,渋谷区,渋谷区代官山町18-3　仲野ビル３F,"月〜日（祝含む）　10:30〜18:00
無休",,True,True,"※Eメールアドレスをお持ちでない方も
検査が可能です。"
MDT衛生検査所 池袋受付センター,豊島区,豊島区西池袋3-25-8 相馬屋ビル1階,"月〜日（祝含む）　9:00〜20:00
無休",,True,True,※Eメールアドレスをお持ちでない方も検査が可能です。
世田谷区 代田区民センター,世田谷区,世田谷区代田6-34-13,"月〜日（祝含む）　10:00〜13:00/14:00〜17:00
（最終受付時間　16:45）
7/4、14、18　休み",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月~金　9-18時）"
世田谷区　烏山区民センター広場,世田谷区,世田谷区南烏山６丁目２−１９,"12:30〜18:30　（最終受付　18:15）
7/1、3〜10、12、19、20　休み",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月~金　9-18時）"
世田谷区　経堂駅前道路事業用代替地,世田谷区,世田谷区宮坂3-11,"月〜日（祝含む）　11:30〜18:00　（最終受付　17:45）
無休",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月〜金　9:00〜18:00）"
杉並区　阿佐ヶ谷駅南口駅前広場,杉並区,杉並区阿佐谷南3-36,"月〜日　9:30〜16:00　（最終受付　15:45）
祝、7/5、14、16〜19　休み",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月〜金　9:00〜18:00）"
杉並区　高円寺駅北口駅前広場,杉並区,杉並区高円寺北2-6,"月〜日　12:30〜19:00　（最終受付　18:45）
祝、7/13、16、17　休み",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月〜金　9:00〜18:00）"
北区　王子駅前公園,北区,北区王子１丁目7-1,"月〜日（祝含む）13:00〜19:00
6/18、28　休み
※7/15まで",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月〜金　9:00〜18:00）
メールアドレスなしで受検可能"
板橋区　蓮根PCR検査センター,板橋区,板橋区蓮根2丁目21−5,"月〜日（祝日含む）9:30〜13:00/14:00〜16:30
（最終受付時間　16:15）
無休",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月~金　9-18時）"
調布駅前広場,調布市,調布市小島町２丁目４９,"月〜金（祝含む）　11:30〜17:00（最終受付時間　16:45）
7/13、15、18、土日　休み
※予約者優先",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月~金　9-18時）"
町田東急TWINS横,町田市,町田市原町田6-4-1 町田東急ツインズ TWINS EAST 1F,"月〜日（祝含む）　12:30〜19:00　（最終受付　18:45）
7/3　休み",0120-758-167,True,False,"HPからの予約(?https://www.khi.co.jp/groupvision2030/pcr/test/?)
※お問い合わせは下記番号からお願い致します。
川崎重工業PCRコールセンター：0120-758-167（受付時間：月~金　9-18時）
メールアドレスなしで受検可能"
ファイヤークリニック 銀座院,中央区,中央区京橋3-3-11 VOTE京橋 4F,"月〜日（祝含む）　10:00〜21:00
無休",,True,False,メールアドレスなしで受検可能
Checkup Center よつば 新大久保店,新宿区,新宿区百人町2丁目5-8科研ビル1階C室,"月〜日（祝含む）　9:00〜21:00
無休",03-4500-1775,True,False,メールアドレスなしで受検可能
ファイヤークリニック  新宿唾液採取センター,新宿区,新宿区新宿6-11-9 1F,"月〜日（祝含む）　10:00〜21:00
無休",,True,False,メールアドレスなしで受検可能
ファイヤークリニック 新宿院,新宿区,新宿区新宿3-9-5 ゴールドビル8階,"月〜日　10:00〜21:00
無休",,True,False,メールアドレスなしで受検可能
Checkup Centerよつば 上野店,台東区,台東区東上野6-8-7,"月〜日（祝含む）　9:00〜17:00
無休",03-6231-7842,True,False,メールアドレスなしで受検可能
Checkup Centerよつば　武蔵小山店,品川区,品川区小山4-2-3 ザ・シティ武蔵小山5階,"月〜日（祝含む）　9:00〜18:00
無休",080-1044-2259,True,False,"5階にて検査実施
メールアドレスなしで受検可能"
ファイヤークリニック 渋谷院,渋谷区,渋谷区神南1丁目12-14 星ビル 1階,"月〜日（祝含む）　10:00〜21:00
無休",,True,False,メールアドレスなしで受検可能
Checkup Centerよつば 荻窪店,杉並区,杉並区天沼2-42-23　千代田ハイツ荻窪104,"月〜日（祝含む）　 9:00〜19:00 
無休",090-5806-2099,True,False,メールアドレスなしで受検可能
Checkup Centerよつば 亀有店,葛飾区,葛飾区亀有5-30-2-1F,"月〜日（祝含む）　9:00〜20:00
無休",03-6802-6201,True,False,メールアドレスなしで受検可能
Checkup Centerよつば 金町店,葛飾区,葛飾区東金町3-33-6,"月〜日（祝含む）　9:00〜20:00
無休",080-9261-0019,True,False,メールアドレスなしで受検可能
PCR検査センター受付 立川店,立川市,立川市曙町2-7-5 1階,"月〜日（祝含む）　9:30〜20:30
無休",0120-974-750,True,False,メールアドレスなしで受検可能
ヘルス・マネジメント・クリニック,中央区,中央区八重洲2-11-2 城辺橋ビル1階,"月〜日（祝含む）　9:00〜20:00
無休",,True,False,ご予約はヘルスマネジメントクリニックのHPからお願いします。
医療法人社団ベスリ会東京TMSクリニック　大規模PCR検査センター（赤坂見附駅前）,港区,港区赤坂3-2-6　赤坂光映ビル 1階・地下1階,"月〜日（祝含む）　10:00〜21:00
無休",,True,True,
みどり薬局,台東区,台東区蔵前4-21-9,"月〜金　9:00〜17:00
祝　休み",,False,True,メールアドレスなしで受検可能
薬局トモズ大手町カンファレンスセンター店,千代田区,千代田区大手町一丁目3番2号 大手町カンファレンスセンターB1F,"月〜金　8:00〜20:00
土日祝　休み",,True,True,
薬局トモズ大手町プレイス店,千代田区,千代田区大手町2-3-1 大手町プレイス・ウエストタワーB1F,"月〜金　9:30〜18:30
土日祝　休み",,True,True,
薬局トモズ神田和泉町店,千代田区,千代田区神田和泉町1番地 住友商事神田和泉町ビル 1階,"月〜金　9:00〜18:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ水天宮前店,中央区,中央区日本橋人形町1-13-9 藤和日本橋人形町コープ1階,"月〜金　9:00〜19:00
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ築地店,中央区,中央区築地1-12-12 SIビル1階,"月〜金　9:30〜19:00
土日祝　休み",,True,True,
薬局トモズ茅場町店,中央区,中央区日本橋茅場町2-10-5 住友生命茅場町ビル 1F,"月〜金　10:00〜19:00
土日祝　休み",,True,True,
