№,実施者区分,施設等名称,所在地,方部,連絡先,pcr,antigen,対面,オンライン,ドライブスルー,検査対応曜日（特に記載がないものは祝日を除く）,検査対応時間,予約要否,事業開始日,備考
136,薬局,調剤薬局ツルハドラッグ会津湯川店,福島県 会津若松市湯川町1-58,会津,0242-38-3328,True,True,True,False,False,月～金,"PCR検査：9時～13時
抗原定性検査：9時～13時",予約不要,2022-04-01,
137,薬局,クスリのアオキ城西町薬局,福島県 会津若松市城西町8番12号,会津,0242-85-6107,True,True,True,True,True,月～日、祝,9時～22時,予約不要,2022-04-01,"月～金　9:00-19:00　土　9:00-18:00（薬局　0242-85-6107）
上記以外の時間帯（店舗　0242-36-7317）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
138,薬局,クスリのアオキ天寧寺薬局,福島県 会津若松市天寧寺町2番20号,会津,0242-23-8137,True,True,True,True,True,月～日、祝,9時～22時,予約不要,2022-04-01,"月～金　9:00-18:00（薬局　0242-23-8137）
上記以外の時間帯（店舗　0242-93-8051）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
139,薬局,クスリのアオキ白虎町薬局,福島県 会津若松市会津都市計画事業扇町土地区画整理事業5-19街区6画地,会津,0242-85-7237,True,True,True,True,True,月～日、祝,9時～22時,予約不要,2022-04-01,"月～金　9:00-18:00（薬局　0242-85-7237）
上記以外の時間帯（店舗　0242-36-7582）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
140,薬局,ウエルシア薬局喜多方常盤台店,福島県 喜多方市常盤台４６－１,会津,0241-21-4426,True,True,True,False,False,月～金,9時～14時、15時～19時,要予約,2022-04-01,"HPから予約可能
https://www.welcia-yakkyoku.co.jp/"
141,衛生検査所等,木下グループ新型コロナ検査センター　喜多方市指定新型コロナ検査所,"福島県 喜多方市押切2-1　
喜多方プラザ第３練習室（北側駐車場内）",会津,"原則、インターネットにて予約受付
予約受付URL：https://covid-kensa.com/kitakata.html",True,True,True,False,False,月火木金土,9時～12時、13時～16時,要予約,2022-04-01,"＜お問い合わせ先＞
検査結果未着の方 ⇒ https://covid-kensa.com/contact-notarrived/
Mail：corona-testcenter@kinoshita-group.co.jp
TEL：03-4333-1640（10:30～18:30）
※お電話がつながりにくい状況が多いため、メールでのお問い合わせをお願いいたします。"
142,薬局,アイン薬局猪苗代店,福島県 耶麻郡猪苗代町大字千代田字油地62-9,会津,0242-72-1531,True,False,False,False,True,月～金,13時30分～15時,要予約,2022-04-01,
143,薬局,コスモ調剤薬局　金山店,福島県 大沼郡金山町川口字金洗道下１４８１－３,会津,0241-53-5580,False,True,True,False,False,月～金,13時～15時,要予約,2022-04-01,
144,薬局,アイン薬局会津美里店,福島県 大沼郡会津美里町高田甲2969番地5,会津,0242-93-9033,True,False,False,False,True,月～金,16時～18時,要予約,2022-04-01,
145,薬局,ウエルシア薬局会津美里店,福島県 大沼郡会津美里町思堀２５,会津,0242-57-1115,True,True,True,False,False,月～金,"9時～14時
15時～19時",要予約,2022-04-01,"HPから予約可能
https://www.welcia-yakkyoku.co.jp/"
146,医療機関,小川医院,福島県 耶麻郡猪苗代町字カキ田393番地,会津,0242-62-2132,False,True,True,False,False,月火水木土日,"月水土日：9時～11時、
　　　　　　　14時～16時
火木：9時～11時",要予約,2022-04-01,
147,薬局,昭和調剤薬局,福島県 大沼郡昭和村小中津川字石仏1842,会津,0241-42-7726,False,True,False,False,True,月水,10時～12時、14時～16時,要予約,2022-05-30,
148,薬局,ふるまち薬局,福島県 南会津郡南会津町古町字新坂1番地5,南会津,0241-72-8222,False,True,True,False,True,月～金,"月木金：10時30分～15時
火：13時30分～14時30分、
17時～17時30分
水：13時30分～15時",要予約,2022-04-01,
149,薬局,ファーマシーダイマル,福島県 南会津郡南会津町永田字風下2-3,南会津,0241-62-1320,False,True,False,False,True,月～金,13時30分～14時30分,要予約,2022-04-01,
150,薬局,クオール薬局南会津店,福島県 南会津郡南会津町長田字下川原81-4,南会津,0241-63-3201,False,True,False,False,True,月～金,15時～17時,要予約,2022-05-30,
151,薬局,共創未来　相馬薬局,福島県 相馬市新沼字坪ヶ迫98 ,相双,0244-37-4010,False,True,False,False,True,月～金,14時～17時,要予約,2022-04-01,
152,薬局,アイン薬局　東相馬店,福島県 相馬市沖ノ内2-16-6,相双,0244-37-3338,True,False,False,False,True,火～金,18時～20時,要予約,2022-04-01,
153,衛生検査所等,南相馬PCR検査センター,"福島県 南相馬市原町区青葉町2-62-3
株式会社カルディオメド福島 敷地内",相双,0244-26-8232,True,True,True,False,False,月～土,"平日：9時～12時、13時～17時
土：9時～12時",予約不要,2022-04-01,
154,薬局,そうごう薬局　旭町店,福島県 南相馬市原町区旭町3-24,相双,0244-22-5666,False,True,False,False,True,火水木,15時～18時,要予約,2022-04-01,
155,薬局,アイン薬局　本陣前店,福島県 南相馬市原町区本陣前1丁目82番地,相双,0244-24-3369,True,False,False,False,True,月火水金,18時～20時,要予約,2022-04-01,
156,薬局,アイン薬局　原町店,福島県 南相馬市原町区日の出町541番5,相双,0244-26-7825,True,False,False,False,True,月火水金,"13時～14時、
18時30分～20時",要予約,2022-04-01,
157,薬局,アイン薬局　南相馬東店,福島県 南相馬市原町区高見町2-122-1,相双,0244-23-7709,True,False,False,False,True,月～金,18時～20時,要予約,2022-04-01,
158,薬局,ヤマキ保健薬局,福島県 南相馬市原町区旭町1丁目12,相双,0244-25-7270,False,True,True,False,False,月～土,"月～金：14時～17時
土：10時～12時",要予約,2022-04-01,
159,薬局,ウエルシア薬局南相馬原ノ町駅前店,福島県 南相馬市原町区旭町二丁目52番地の1,相双,0244-25-2523,True,True,True,False,False,月～金,"9時30分～14時
15時～18時30分",要予約,2022-04-01,"HPから予約可能
https://www.welcia-yakkyoku.co.jp/"
160,衛生検査所等,南相馬市指定PCR検査所,福島県 南相馬市原町区小川町322-1,相双,"原則、インターネットにて予約受付
予約受付URL：https://covid-kensa.com/minamisoma.html",True,True,True,False,False,月～金,9時～12時、13時～16時,要予約,2022-04-01,"＜お問い合わせ先＞
検査結果未着の方 ⇒ https://covid-kensa.com/contact-notarrived/
Mail：corona-testcenter@kinoshita-group.co.jp
TEL：03-4333-1640（10:30～18:30）
※お電話がつながりにくい状況が多いため、メールでのお問い合わせをお願いいたします。"
161,薬局,そうごう薬局 鹿島店,福島県 南相馬市鹿島区横手字榎内17,相双,0244-46-1421,False,True,False,False,True,月～土,"月火木金：9時～18時
水：9時～16時
土：9時～12時",要予約,2022-04-01,
162,医療機関,まつはし内科クリニック,福島県 いわき市平上荒川字安草47,いわき,0246-68-8031,True,False,True,False,False,月～水、金～土,"月火水金：9時～11時30分、
14時～17時
土：9時～11時30分",要予約,2022-04-01,
163,薬局,あさひ調剤薬局 いわき店,福島県 いわき市内郷綴町金谷11-6,いわき,0246-27-4193,True,False,False,False,True,月火木金,12時～14時,要予約,2022-04-01,
164,薬局,アイランド薬局倉前店,福島県 いわき市平字倉前113番地の6,いわき,0246-22-9997,False,True,True,False,True,月火水金,14時～16時,要予約,2022-04-01,
165,薬局,アイン薬局　いわき小島店,福島県 いわき市小島町1-5-10,いわき,0246-45-2120,True,True,False,False,True,"月～土
第2～第5日・祝日","月～土：9時～18時
第2～第5日・祝日：9時～13時",要予約,2022-04-01,
166,薬局,アイン薬局　いわき富岡店,福島県 いわき市小名浜南富岡富士前57,いわき,0246-54-1080,True,True,False,False,True,月～土,"月～金：9時～18時
土：9時～13時",要予約,2022-04-01,
167,薬局,アイン薬局　ぴよぴよ薬局,福島県 いわき市草木台5丁目16-1,いわき,0246-46-2040,True,True,False,False,True,月～土,"月～金：8時30分～19時
土：8時30分～18時",要予約,2022-04-01,
168,薬局,葵調剤薬局 湯本店,福島県 いわき市常磐下湯長谷町2丁目14-2,いわき,0246-72-1750,True,True,False,False,True,月～土,"月火木金：8時30分～18時
水土：8時30分～12時30分",要予約,2022-04-01,
169,薬局,アイル薬局住吉店,福島県 いわき市小名浜住吉字冠木1-2,いわき,0246-76-0898,False,True,True,False,False,月火水金,13時30分～16時30分,要予約,2022-04-01,
170,薬局,雄飛堂薬局いわき医療センター前店,福島県 いわき市内郷御厩町久世原244－1,いわき,0246-38-6951,True,True,True,True,True,月～金,8時30分～18時,要予約,2022-04-01,
171,医療機関,医療法人にしやま耳鼻咽喉科医院,福島県 いわき市泉玉露5丁目7-7,いわき,0246-56-8733,False,True,True,False,True,月～土,"月火木金：9時～11時30分、
14時30分～17時
水土：9時～11時30分",要予約,2022-04-01,
172,薬局,オレンジ薬局　湯本南店,福島県 いわき市常磐西郷町字岩崎28番地10 ,いわき,0246‐72‐1050,False,True,False,False,True,月～土,"9時30分～11時30分、
14時～16時",要予約,2022-04-01,
173,薬局,たまち薬局,福島県 いわき市平字田町75-5,いわき,0246-37-7622,True,True,True,False,False,月～土,"月火水金：8時30分～15時
木：8時30分～11時
土：8時30分～10時",要予約,2022-04-01,
174,薬局,薬局タローファーマシー,福島県 いわき市平谷川瀬一丁目17-6,いわき,0246-25-3600,False,True,True,False,True,月～金,9時～15時,要予約,2022-04-01,
175,薬局,薬局タローファーマシー四倉店,福島県 いわき市四倉町西3丁目15-2,いわき,0246-32-8555,False,True,True,False,False,月～金,9時～15時,要予約,2022-04-01,
176,薬局,薬局タローファーマシー上荒川店,福島県 いわき市平上荒川堀の内16-4,いわき,0246-23-8977,False,True,True,False,False,月～金,9時～15時,要予約,2022-04-01,
177,薬局,薬局タローファーマシー高専前店,福島県 いわき市平上荒川字長尾40-2,いわき,0246-28-2112,False,True,True,False,False,月～金,9時～15時,要予約,2022-04-01,
178,薬局,薬局タローファーマシーけいりん場前店,福島県 いわき市平谷川瀬一丁目19-6,いわき,0246-22-3600,False,True,True,False,False,月～金,9時～15時,要予約,2022-04-01,
179,薬局,薬局タローファーマシー鹿島店,福島県 いわき市鹿島町走熊字小神山38-1,いわき,0246-46-3600,False,True,True,False,False,月火水金,9時～15時,要予約,2022-04-01,
180,薬局,薬局タローファーマシーみまや店,福島県 いわき市内郷御厩町三丁目94-2,いわき,0246-27-3388,False,True,True,False,False,月～金,9時～15時,要予約,2022-04-01,
181,薬局,イオン薬局いわき店,福島県 いわき市平字三倉68-1,いわき,0246-41-0017,False,True,True,False,False,年中無休,10時～17時,要予約,2022-04-01,
182,薬局,日本調剤　いわき薬局,福島県 いわき市内郷綴町沼尻148-1,いわき,0246-45-2235,True,True,True,True,False,月～金,10時～12時、14時～17時,要予約,2022-04-01,
183,医療機関,医療法人社団ときわ会富岡クリニック,福島県 いわき市小名浜大原字丁新地9-6,いわき,0246-85-5770,True,False,False,False,True,火,10時～11時、14時～15時,要予約,2022-04-01,
184,薬局,コロ薬局　泉滝尻店,福島県 いわき市泉町滝尻字南坪53番地1,いわき,0246-88-7623,False,True,True,False,True,月～土,"月～金：9時～18時30分
土：9時～12時半",要予約,2022-04-01,
185,薬局,ウエルシア薬局いわき錦店,福島県 いわき市錦町花ノ井３０番地の１,いわき,0246-77-0672,True,True,True,False,False,月～土,"月～金：9時30分～19時
土：9時30分～14時、
15時～17時",要予約,2022-04-01,"HPから予約可能
https://www.welcia-yakkyoku.co.jp/"
186,薬局,ウエルシア薬局いわき中央台東店,福島県 いわき市中央台高久二丁目２５番地の１,いわき,0246-46-3628,True,True,True,False,False,月～土,"9時30分～14時
15時～18時30分",要予約,2022-04-01,"HPから予約可能
https://www.welcia-yakkyoku.co.jp/"
187,薬局,調剤薬局ツルハドラッグ平窪店,福島県 いわき市平下平窪山土内町1-1,いわき,0246-35-0816,True,True,True,False,False,月～金,"PCR検査：9時30分～13時
抗原定性検査：9時30分～13時",予約不要,2022-04-01,
188,薬局,調剤薬局ツルハドラッグいわき玉露店,福島県 いわき市泉玉露5丁目7-6,いわき,0246-75-1268,True,True,True,False,False,月～金,"PCR検査：9時～13時
抗原定性検査：9時～13時",予約不要,2022-04-01,
189,薬局,クスリのアオキ小名浜リスポ薬局,福島県 いわき市小名浜字蛭川南5番地6,いわき,0246-84-6526,True,True,True,True,True,月～日、祝,9時～22時,予約不要,2022-04-01,"月～金　9:00-18:00　土　9:00-13:00（薬局　0246-84-6526）
上記以外の時間帯（店舗　0246-84-6271）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
190,医療機関,医療法人社団栄央会なこそ病院,福島県 いわき市勿来町窪田町通2-114,いわき,0246-65-7755,True,False,True,False,False,土,13時30分～17時,要予約,2022-05-28,
191,薬局,株式会社くすりのマルト調剤薬局いわき市医療センター前店,福島県 いわき市内郷御厩町久世原248,いわき,0246-45-1788,False,True,False,False,True,月～金,15時～17時,要予約,2022-06-20,
192,薬局,株式会社くすりのマルト調剤薬局川原田店,福島県 いわき市内郷綴町川原田117,いわき,0246-45-1118,False,True,True,False,True,月～金,13時～15時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
193,薬局,株式会社くすりのマルト調剤薬局谷川瀬店,福島県 いわき市平谷川瀬二丁目11-10,いわき,0246-22-1150,False,True,True,False,True,月～金,13時30分～15時30分,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
194,薬局,株式会社くすりのマルト調剤薬局玉川店,福島県 いわき市小名浜住吉字道下34,いわき,0246-76-1880,False,True,True,False,True,月～金,13時～15時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
195,薬局,株式会社くすりのマルト調剤薬局下湯長谷店,福島県 いわき市常磐下湯長谷町道下10,いわき,0246-72-1771,False,True,True,False,True,月～金,14時～16時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
196,薬局,株式会社くすりのマルト調剤薬局洋向台店,福島県 いわき市洋向台四丁目1番3,いわき,0246-59-0007,False,True,True,False,True,月～金,12時30分～14時30分,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
197,薬局,株式会社くすりのマルト調剤薬局つづら店,福島県 いわき市内郷綴町仲田26-6,いわき,0246-45-2855,False,True,True,False,True,月～金,16時～17時30分,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
198,薬局,株式会社くすりのマルト調剤薬局泉店,福島県 いわき市泉町一丁目32番3,いわき,0246-75-2727,False,True,True,False,True,月～金,14時～16時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
199,薬局,株式会社くすりのマルト調剤薬局平窪店,福島県 いわき市平下平窪山土内町3-1,いわき,0246-24-3677,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
200,薬局,株式会社くすりのマルト調剤薬局上中田店,福島県 いわき市錦町上中田7,いわき,0246-63-3036,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
201,薬局,株式会社くすりのマルト調剤薬局高坂店,福島県 いわき市内郷高坂町八反田55,いわき,0246-27-1101,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
202,薬局,株式会社くすりのマルト調剤薬局林城店,福島県 いわきし小名浜林城字辻前3番地2,いわき,0246-76-1188,False,True,True,False,True,月～金,12時～14時30分,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
203,薬局,株式会社くすりのマルト調剤薬局遠野店,福島県 いわき市遠野町上遠野字本町67-2,いわき,0246-85-5551,False,True,True,False,True,月～金,14時～16時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
204,薬局,株式会社くすりのマルト調剤薬局窪田店,福島県 いわき市勿来町窪田十条3-1-3,いわき,0246-65-0555,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
205,薬局,株式会社くすりのマルト調剤薬局平尼子店,福島県 いわき市平字尼子町3-1-2,いわき,0246-35-1775,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
206,薬局,株式会社くすりのマルト調剤薬局鳥居店,福島県 いわき市錦町綾ノ内121,いわき,0246-62-7755,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
207,薬局,株式会社くすりのマルト調剤薬局平五町目店,福島県 いわき市平字五町目17-12,いわき,0246-21-1771,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
208,薬局,株式会社くすりのマルト調剤薬局君ヶ塚店,福島県 いわき市小名浜大原字下小滝158-2,いわき,0246-92-4678,False,True,True,False,True,月～金,15時～17時,要予約,2022-06-20,レールカーテンで仕切られたブース、又は、自家用車内で検査
